id;code;name;description;logo;logo_content_type;contact_person;employee_size;client_size;email;website
1;Car C;Indiana;Tasty Gorgeous;../fake-data/blob/hipster.png;image/png;initiatives Fish District;BETWEEN50AND100;BETWEEN1000AND5000;"LolhIf@Jv7U3VBuQUoZuXHZqQ7swOBmfZB6zUgH36u0HD1R3Go1C6EtPMc3hmGe5DiNIwUAt.whgsh.di";"https://lVvumRWoqgn"
2;invoi;Clothing Mississippi;revolutionary turquoise calculate;../fake-data/blob/hipster.png;image/png;Operations convergence;LARGERTHANT1000;BETWEEN10000AND50000;"@5.252.254.69";"http://www 7bBtNZ4+sqxzlnkk"
3;progr;Minnesota;teal Cotton;../fake-data/blob/hipster.png;image/png;scale digital;BETWEEN50AND100;LARGERTHANT100000;"@[5.255.7.142";"http://www=JoCV2D{PTOFbarf"
4;commu;Burundi;monitor;../fake-data/blob/hipster.png;image/png;hacking;LESSTHAN10;BETWEEN50000AND1000000;"jAyALy2sP.rD3.-cd3-P.88CN8@ZlQLDQ.YPh7bY.uFkVxRZP0Ok0UA-vnh0qqSx0BBev78VsTp2vogpzwJ8yvKqt4fVW.ouux.mh";"PLR8vkdkw"
5;Check;Chicken Ergonomic;violet;../fake-data/blob/hipster.png;image/png;Jewelery Data Aruban;LARGERTHANT1000;BETWEEN1000AND5000;"@[53.5.251.55";"https://XmoZ4^63'rhp$xkhq"
6;Lead ;Human;Designer bricks-and-clicks Plastic;../fake-data/blob/hipster.png;image/png;utilize;BETWEEN50AND100;BETWEEN1000AND5000;"@[252.115.129.1]";"www'lGwbXvatzWZc?veoy"
7;copyi;Sleek Small;feed Marketing digital;../fake-data/blob/hipster.png;image/png;Directives Gorgeous;BETWEEN500AND1000;BETWEEN10000AND50000;"@181.185.204.119]";"https://www/9Ufi&1hvh^x"
8;AGP P;Arizona Nevada Solutions;Grocery Jamaican integrate;../fake-data/blob/hipster.png;image/png;Arab payment matrix;BETWEEN10AND50;BETWEEN50000AND1000000;"m8j@v7fhV.0e.VSJCLClgmtcJW9ls-0aOA_Ec7k3ZVcPr79UZILxKDEgNWRMsQ4.syiroj";"2fsUlQERbgsuawaqyc"
9;Chief;grey Chair;Creative;../fake-data/blob/hipster.png;image/png;maroon Cambridgeshire;LESSTHAN10;BETWEEN50000AND1000000;"ormYxhYfI.hMiVCk@y5.FKm-tR.GC0I.A2tF.WnA.c3V_ATvIGhjCMcNIXmSyHAA4_pJ1v5HFfy8d7DYKlb0s6onZurPi9fGrkDa3yNdVwoB.wfx.cc";"http://www}VTmbqcdkKPJvrxhdpbfqv"
10;Accou;Fresh;District benchmark Books;../fake-data/blob/hipster.png;image/png;China;LESSTHAN10;BETWEEN5000AND10000;"@[178.244.158.3]";"http://hfaSbWagNFkmfx"
