id;street_address_line_1;street_address_line_2;latitude;longitude
1;Secured Program;the program Ghana;magnetic;Soft Colombia
2;installation International generating;Chief;connecting;Gold harness
3;neural;e-commerce Reverse-engineered Directives;Bedfordshire;Outdoors
4;pink;SCSI;Diverse;Fuerte Sports
5;17(E.U.A.-17) Frozen Venezuela;analyzer;JSON open-source e-s;Monaco Business-focu
6;Designer Austria;Generic;Soft impactful Patac;deposit alarm
7;fuchsia Leu;Account Movies Stream;Licensed Forward;connect Toys Assuran
8;teal;blockchains;Refined Nicaragua sy;digital withdrawal
9;Maine IB;Parks;utilisation Gardens;Division viral Inves
10;Zambia viral approach;harness;Configuration;Tasty Pike
